"angle","Frequency"
0,643221.695741312
3.6,647202.098364698
7.2,659087.217702249
10.8,678690.392564928
14.4,705703.680290247
18,739702.637009862
21.6,780152.912182023
25.2,826418.559616829
28.8,877771.941220091
32.4,933405.075172917
36,992442.257596646
39.6,1053953.76627654
43.2,1116970.43707983
46.8,1180498.88864197
50.4,1243537.15902763
54,1305090.50969103
57.6,1364187.14741373
61.2,1419893.61418588
64.8,1471329.59835809
68.4,1517681.92788826
72,1558217.51812736
75.6,1592295.06222607
79.2,1619375.27170858
82.8,1639029.49776642
86.4,1650946.59000277
90,1654937.87825376
93.6,1650940.19420347
97.2,1639016.88220971
100.8,1619356.78244125
104.4,1592271.20343907
108,1558188.93488967
111.6,1517649.38408488
115.2,1471293.95061051
118.8,1419855.78267503
122.4,1364148.08463442
126,1305051.16823944
129.6,1243498.45955697
133.2,1180461.68911475
136.8,1116935.50439858
140.4,1053921.75129014
144,992413.67435895
147.6,933380.285179345
151.2,877751.143170999
154.8,826401.785060111
158.4,780140.027178751
162,739693.349752952
165.6,705697.554394933
169.2,678686.865548553
172.8,659085.62398681
176.4,647201.695975113
180,643221.695741312
183.6,647208.09177441
187.2,659098.239543528
190.8,678705.354815881
194.4,705721.413181936
198,739721.932990649
201.6,780172.570982135
205.2,826437.432807695
208.8,877788.974681856
212.4,933419.347958666
216,992453.015810545
219.6,1053960.4507608
223.2,1116972.70392581
226.8,1180496.621796
230.4,1243530.47454337
234,1305079.75147714
237.6,1364172.87462799
241.2,1419876.58072412
244.8,1471310.72516723
248.4,1517662.26908815
252,1558198.22214658
255.6,1592277.32933438
259.2,1619360.30945763
262.8,1639018.47592515
266.4,1650940.59659306
270,1654937.87825376
273.6,1650946.99239236
277.2,1639031.09148186
280.8,1619378.79872496
284.4,1592301.18812138
288,1558226.80538427
291.6,1517694.81289153
295.2,1471346.37291481
298.8,1419914.41223498
302.4,1364211.93740731
306,1305119.09292873
309.6,1243569.17401403
313.2,1180533.82132323
316.8,1117007.63660706
320.4,1053992.4657472
324,992481.599048241
327.6,933444.137952238
331.2,877809.77273095
334.8,826454.207364414
338.4,780185.455985408
342,739731.22024756
345.6,705727.539077252
349.2,678708.881832257
352.799999999999,659099.833258968
356.4,647208.494163996
359.999999999999,643221.695741312
